Time,RPM
0,2809.0
50,2661.0
100,2384.0
150,2085.0
200,1926.0
250,1819.0
300,2306.0
350,2660.0
400,2767.0
450,2759.0
500,2497.0
550,2205.0
600,1886.0
650,1703.0
700,2139.0
750,2377.0
800,2669.0
850,2717.0
900,2477.0
950,2174.0
1000,2029.0
1050,1893.0
1100,2468.0
1150,2568.0
1200,2491.0
1250,2156.0
1300,1974.0
1350,1823.0
1400,2235.0
1450,2587.0
1500,2760.0
1550,2720.0
1600,2483.0
1650,2191.0
1700,1861.0
1750,1878.0
1800,2360.0
1850,2704.0
1900,2777.0
1950,2553.0
2000,2288.0
2050,1986.0
2100,1835.0
2150,2244.0
2200,2402.0
2250,2692.0
2300,2666.0
2350,2412.0
2400,2259.0
2450,1946.0
2500,1765.0
2550,2154.0
2600,2454.0
2650,2739.0
2700,2476.0
2750,2191.0
2800,2036.0
2850,1918.0
2900,2389.0
2950,2582.0
3000,2812.0
3050,2653.0
3100,2435.0
3150,2160.0
3200,2003.0
3250,1886.0
3300,2277.0
3350,2641.0
3400,2754.0
3450,2721.0
3500,2449.0
3550,2145.0
3600,1847.0
3650,1888.0
3700,2423.0
3750,2808.0
3800,2846.0
3850,2621.0
3900,2349.0
3950,2060.0
4000,1907.0
4050,1804.0
4100,2281.0
4150,2594.0
4200,2676.0
4250,2622.0
4300,2350.0
4350,2059.0
4400,1890.0
4450,1777.0
4500,2349.0
4550,2597.0
4600,2726.0
4650,2705.0
4700,2485.0
4750,2193.0
4800,1870.0
4850,2211.0
4900,2469.0
4950,2755.0
5000,2684.0
5050,2427.0
5100,2095.0
5150,1922.0
5200,1777.0
5250,2285.0
5300,2644.0
5350,2651.0
5400,2390.0
5450,2090.0
5500,1932.0
5550,1800.0
5600,2230.0
5650,2554.0
5700,2629.0
5750,2584.0
5800,2329.0
5850,2028.0
5900,1856.0
5950,2278.0
6000,2387.0
6050,2870.0
6100,2848.0
6150,2652.0
6200,2371.0
6250,2038.0
6300,1873.0
6350,1724.0
6400,2297.0
6450,2521.0
6500,2713.0
6550,2660.0
6600,2395.0
6650,2130.0
6700,1981.0
6750,1854.0
6800,2347.0
6850,2582.0
6900,2875.0
6950,2708.0
7000,2444.0
7050,2130.0
7100,1969.0
7150,1894.0
7200,2305.0
7250,2659.0
7300,2802.0
7350,2684.0
7400,2426.0
7450,2154.0
7500,2012.0
7550,1905.0
7600,2326.0
7650,2690.0
7700,2764.0
7750,2705.0
7800,2445.0
7850,2299.0
7900,2023.0
7950,1922.0
8000,2404.0
8050,2682.0
8100,2774.0
8150,2520.0
8200,2221.0
8250,1891.0
8300,1705.0
8350,2162.0
8400,2418.0
8450,2652.0
8500,2786.0
8550,2529.0
8600,2225.0
8650,1913.0
8700,1724.0
8750,2094.0
8800,2413.0
8850,2712.0
8900,2649.0
8950,2373.0
9000,2231.0
9050,1926.0
9100,1766.0
9150,2180.0
9200,2418.0
9250,2722.0
9300,2724.0
9350,2494.0
9400,2205.0
9450,2056.0
9500,1713.0
9550,2138.0
9600,2197.0
9650,2622.0
9700,2719.0
9750,2505.0
9800,2221.0
9850,2061.0
9900,1694.0
9950,1726.0
10000,2270.0
10050,2622.0
10100,2704.0
10150,2440.0
10200,2141.0
10250,1993.0
10300,1873.0
10350,2383.0
10400,2614.0
10450,2655.0
10500,2424.0
10550,2134.0
10600,1972.0
10650,1850.0
10700,2282.0
10750,2599.0
10800,2743.0
10850,2573.0
10900,2316.0
10950,2181.0
11000,1872.0
11050,2217.0
11100,2524.0
11150,2590.0
11200,2340.0
11250,2043.0
11300,1866.0
11350,2268.0
11400,2393.0
11450,2747.0
11500,2782.0
11550,2550.0
11600,2259.0
11650,2110.0
11700,1784.0
11750,2196.0
11800,2434.0
11850,2657.0
11900,2757.0
11950,2530.0
12000,2261.0
12050,1965.0
12100,1794.0
12150,2181.0
12200,2477.0
12250,2737.0
12300,2497.0
12350,2358.0
12400,2049.0
12450,1676.0
12500,1723.0
12550,2312.0
12600,2602.0
12650,2696.0
12700,2423.0
12750,2111.0
12800,1774.0
12850,1841.0
12900,2230.0
12950,2622.0
13000,2860.0
13050,2663.0
13100,2423.0
13150,2136.0
13200,1981.0
13250,1871.0
13300,2313.0
13350,2691.0
13400,2688.0
13450,2439.0
13500,2153.0
13550,1835.0
13600,1886.0
13650,2391.0
13700,2621.0
13750,2734.0
13800,2575.0
13850,2313.0
13900,2033.0
13950,1874.0
14000,2274.0
14050,2447.0
14100,2835.0
14150,2860.0
14200,2650.0
14250,2383.0
14300,2086.0
14350,1917.0
14400,1795.0
14450,2314.0
14500,2594.0
14550,2742.0
14600,2689.0
14650,2430.0
14700,2142.0
14750,1836.0
14800,1889.0
14850,2374.0
14900,2837.0
14950,2873.0
15000,2719.0
15050,2498.0
15100,2191.0
15150,1850.0
15200,1898.0
15250,2372.0
15300,2830.0
15350,2886.0
15400,2721.0
15450,2461.0
15500,2162.0
15550,1839.0
15600,1892.0
15650,2315.0
15700,2751.0
15750,2594.0
15800,2332.0
15850,2191.0
15900,1892.0
15950,2200.0
