Time,RPM
0,2774.0
50,2540.0
100,2278.0
150,1982.0
200,1821.0
250,2083.0
300,2616.0
350,2960.0
400,2838.0
450,2608.0
500,2353.0
550,2068.0
600,1912.0
650,1735.0
700,1798.0
750,2460.0
800,2854.0
850,2634.0
900,2386.0
950,2106.0
1000,1953.0
1050,1792.0
1100,2035.0
1150,2811.0
1200,2976.0
1250,2764.0
1300,2402.0
1350,2266.0
1400,1970.0
1450,1807.0
1500,2065.0
1550,2559.0
1600,2987.0
1650,2783.0
1700,2550.0
1750,2290.0
1800,1996.0
1850,1837.0
1900,1957.0
1950,2591.0
2000,2962.0
2050,2764.0
2100,2530.0
2150,2267.0
2200,1971.0
2250,1808.0
2300,1999.0
2350,2615.0
2400,2914.0
2450,2762.0
2500,2528.0
2550,2265.0
2600,2123.0
2650,1807.0
2700,1798.0
2750,2201.0
2800,2932.0
2850,2884.0
2900,2662.0
2950,2415.0
3000,2138.0
3050,1825.0
3100,1805.0
3150,2236.0
3200,2924.0
3250,2897.0
3300,2681.0
3350,2436.0
3400,2161.0
3450,1850.0
3500,1831.0
3550,2163.0
3600,2792.0
3650,2830.0
3700,2613.0
3750,2360.0
3800,2076.0
3850,1920.0
3900,1726.0
3950,1928.0
4000,2823.0
4050,2950.0
4100,2739.0
4150,2504.0
4200,2238.0
4250,1938.0
4300,1774.0
4350,1889.0
4400,2472.0
4450,2864.0
4500,2827.0
4550,2479.0
4600,2350.0
4650,2066.0
4700,1742.0
4750,1725.0
4800,2085.0
4850,2779.0
4900,3111.0
4950,2911.0
5000,2688.0
5050,2444.0
5100,2170.0
5150,1860.0
5200,1896.0
5250,2194.0
5300,2942.0
5350,2856.0
5400,2637.0
5450,2387.0
5500,2107.0
5550,1953.0
5600,1791.0
5650,2232.0
5700,2836.0
5750,2890.0
5800,2666.0
5850,2419.0
5900,2142.0
5950,1990.0
6000,1852.0
6050,2209.0
6100,2806.0
6150,2922.0
6200,2608.0
6250,2355.0
6300,2217.0
6350,1915.0
6400,1748.0
6450,1888.0
6500,2520.0
6550,2862.0
6600,2685.0
6650,2444.0
6700,2171.0
6750,2023.0
6800,1884.0
6850,2175.0
6900,2846.0
6950,2968.0
7000,2666.0
7050,2420.0
7100,2143.0
7150,1993.0
7200,1849.0
7250,1976.0
7300,2815.0
7350,2984.0
7400,2777.0
7450,2544.0
7500,2284.0
7550,1991.0
7600,1829.0
7650,1985.0
7700,2526.0
7750,2935.0
7800,2726.0
7850,2489.0
7900,2222.0
7950,1922.0
8000,1753.0
8050,1912.0
8100,2573.0
8150,2908.0
8200,2867.0
8250,2640.0
8300,2391.0
8350,2112.0
8400,1795.0
8450,1822.0
8500,2189.0
8550,2822.0
8600,2870.0
8650,2651.0
8700,2402.0
8750,2124.0
8800,1973.0
8850,1783.0
8900,2245.0
8950,2753.0
9000,2917.0
9050,2588.0
9100,2332.0
9150,2194.0
9200,1890.0
9250,2123.0
9300,2620.0
9350,2953.0
9400,2784.0
9450,2551.0
9500,2291.0
9550,2151.0
9600,1840.0
9650,2100.0
9700,2576.0
9750,2946.0
9800,2803.0
9850,2573.0
9900,2315.0
9950,2176.0
10000,1869.0
10050,2171.0
10100,2646.0
10150,3002.0
10200,2820.0
10250,2592.0
10300,2337.0
10350,2051.0
10400,1895.0
10450,2035.0
10500,2623.0
10550,3059.0
10600,2877.0
10650,2654.0
10700,2406.0
10750,2128.0
10800,1977.0
10850,1837.0
10900,2113.0
10950,2785.0
11000,2946.0
11050,2620.0
11100,2369.0
11150,2234.0
11200,1935.0
11250,1778.0
11300,1963.0
11350,2540.0
11400,2943.0
11450,2742.0
11500,2508.0
11550,2244.0
11600,1948.0
11650,1781.0
11700,1923.0
11750,2549.0
11800,2930.0
11850,2699.0
11900,2459.0
11950,2327.0
12000,2041.0
12050,1900.0
12100,2340.0
12150,2898.0
12200,2994.0
12250,2782.0
12300,2549.0
12350,2289.0
12400,1996.0
12450,1834.0
12500,1981.0
12550,2574.0
12600,2986.0
12650,2809.0
12700,2580.0
12750,2324.0
12800,2037.0
12850,1877.0
12900,2006.0
12950,2551.0
13000,2994.0
13050,2845.0
13100,2619.0
13150,2367.0
13200,2086.0
13250,1929.0
13300,1775.0
13350,1986.0
13400,2808.0
13450,2937.0
13500,2730.0
13550,2494.0
13600,2229.0
13650,1929.0
13700,1765.0
13750,2067.0
13800,2601.0
13850,2953.0
13900,2753.0
13950,2519.0
14000,2256.0
14050,1960.0
14100,1798.0
14150,2011.0
14200,2546.0
14250,2939.0
14300,2908.0
14350,2569.0
14400,2312.0
14450,2174.0
14500,1867.0
14550,2056.0
14600,2544.0
14650,2960.0
14700,2928.0
14750,2592.0
14800,2338.0
14850,2052.0
14900,1897.0
14950,1726.0
15000,1863.0
15050,2485.0
15100,2854.0
15150,2659.0
15200,2415.0
15250,2142.0
15300,1991.0
15350,1877.0
15400,2299.0
15450,2854.0
15500,3003.0
15550,2690.0
15600,2448.0
15650,2177.0
15700,2028.0
15750,1858.0
15800,2242.0
15850,2833.0
15900,2921.0
15950,2716.0
16000,2477.0
16050,2210.0
16100,1908.0
16150,1742.0
16200,2054.0
16250,2612.0
16300,2978.0
16350,2766.0
16400,2534.0
16450,2273.0
16500,1979.0
16550,1818.0
16600,2108.0
16650,2583.0
16700,3040.0
16750,2840.0
16800,2614.0
16850,2361.0
16900,2080.0
16950,1927.0
17000,1791.0
17050,2112.0
17100,2774.0
17150,2945.0
17200,2731.0
17250,2495.0
17300,2230.0
17350,1932.0
17400,1765.0
17450,1939.0
17500,2566.0
17550,2955.0
17600,2745.0
17650,2510.0
17700,2246.0
17750,1949.0
17800,1784.0
17850,1943.0
17900,2596.0
17950,2935.0
18000,2914.0
18050,2577.0
18100,2321.0
18150,2180.0
18200,1874.0
18250,2029.0
18300,2621.0
18350,2925.0
18400,2895.0
18450,2555.0
18500,2297.0
18550,2156.0
18600,1846.0
18650,2030.0
18700,2244.0
18750,2936.0
18800,2897.0
18850,2555.0
18900,2429.0
18950,2156.0
19000,1846.0
19050,1867.0
19100,2242.0
19150,2925.0
19200,2889.0
19250,2666.0
19300,2421.0
19350,2146.0
19400,1836.0
19450,1853.0
19500,2275.0
19550,2865.0
19600,2855.0
19650,2630.0
19700,2381.0
19750,2103.0
19800,1951.0
19850,1802.0
19900,2192.0
19950,2775.0
20000,2851.0
20050,2530.0
20100,2404.0
20150,2129.0
20200,1817.0
20250,1854.0
