Time,RPM
0,2512.0
50,2275.0
100,1972.0
150,1794.0
200,2189.0
250,2344.0
300,2841.0
350,2761.0
400,2536.0
450,2277.0
500,1961.0
550,1783.0
600,2212.0
650,2481.0
700,2793.0
750,2553.0
800,2421.0
850,2145.0
900,1838.0
950,1857.0
1000,2305.0
1050,2757.0
1100,2821.0
1150,2614.0
1200,2349.0
1250,2060.0
1300,1910.0
1350,1804.0
1400,2245.0
1450,2698.0
1500,2809.0
1550,2734.0
1600,2481.0
1650,2173.0
1700,2022.0
1750,1894.0
1800,2338.0
1850,2658.0
1900,2753.0
1950,2500.0
2000,2225.0
2050,1892.0
2100,1706.0
2150,2073.0
2200,2410.0
2250,2691.0
2300,2838.0
2350,2647.0
2400,2370.0
2450,2052.0
2500,1703.0
2550,1757.0
2600,2272.0
2650,2688.0
2700,2706.0
2750,2470.0
2800,2185.0
2850,1861.0
2900,1878.0
2950,2325.0
3000,2704.0
3050,2800.0
3100,2615.0
3150,2334.0
3200,2023.0
3250,1859.0
3300,2306.0
3350,2524.0
3400,2684.0
3450,2401.0
3500,2082.0
3550,1906.0
3600,1716.0
3650,1946.0
3700,2402.0
3750,2643.0
3800,2669.0
3850,2398.0
3900,2249.0
3950,1929.0
4000,1804.0
4050,2332.0
4100,2636.0
4150,2648.0
4200,2405.0
4250,2131.0
4300,1973.0
4350,1855.0
4400,2342.0
4450,2555.0
4500,2880.0
4550,2767.0
4600,2539.0
4650,2266.0
4700,1964.0
4750,1789.0
4800,2197.0
4850,2427.0
4900,2853.0
4950,2746.0
5000,2558.0
5050,2277.0
5100,1977.0
5150,1815.0
5200,2153.0
5250,2415.0
5300,2718.0
5350,2711.0
5400,2498.0
5450,2228.0
5500,2074.0
5550,1757.0
5600,1812.0
5650,2169.0
5700,2636.0
5750,2855.0
5800,2620.0
5850,2341.0
5900,2034.0
5950,1875.0
6000,2226.0
6050,2456.0
6100,2801.0
6150,2583.0
6200,2314.0
6250,2173.0
6300,1879.0
6350,2167.0
6400,2474.0
6450,2692.0
6500,2572.0
6550,2308.0
6600,2041.0
6650,1911.0
6700,2194.0
6750,2454.0
6800,2698.0
6850,2596.0
6900,2315.0
6950,2022.0
7000,1904.0
7050,2424.0
7100,2593.0
7150,2860.0
7200,2676.0
7250,2395.0
7300,2081.0
7350,1922.0
7400,1811.0
7450,2167.0
7500,2559.0
7550,2628.0
7600,2599.0
7650,2348.0
7700,2069.0
7750,1910.0
7800,1816.0
7850,2252.0
7900,2626.0
7950,2697.0
8000,2745.0
8050,2498.0
8100,2211.0
8150,1891.0
8200,1712.0
8250,2128.0
8300,2410.0
8350,2739.0
8400,2829.0
8450,2580.0
8500,2291.0
8550,1970.0
8600,1793.0
8650,2220.0
8700,2493.0
8750,2690.0
8800,2536.0
8850,2266.0
8900,1965.0
8950,1813.0
9000,2205.0
9050,2481.0
9100,2810.0
9150,2562.0
9200,2265.0
9250,2108.0
9300,1769.0
9350,1825.0
9400,2327.0
9450,2765.0
9500,2703.0
9550,2430.0
9600,2140.0
9650,1972.0
9700,1843.0
9750,2326.0
9800,2707.0
9850,2783.0
9900,2410.0
9950,2258.0
10000,1938.0
10050,1768.0
10100,2073.0
10150,2392.0
10200,2623.0
10250,2599.0
10300,2355.0
10350,2211.0
10400,1919.0
10450,1740.0
10500,2163.0
10550,2466.0
10600,2721.0
10650,2476.0
10700,2214.0
10750,2058.0
10800,1713.0
10850,1766.0
10900,2305.0
10950,2613.0
11000,2826.0
11050,2627.0
11100,2364.0
11150,2067.0
11200,1904.0
11250,1791.0
11300,2292.0
11350,2692.0
11400,2651.0
11450,2436.0
11500,2176.0
11550,2016.0
11600,1888.0
11650,2358.0
11700,2581.0
11750,2836.0
11800,2447.0
11850,2296.0
11900,1968.0
11950,1788.0
12000,2137.0
12050,2401.0
12100,2718.0
12150,2729.0
12200,2476.0
12250,2197.0
12300,2050.0
12350,1931.0
12400,2478.0
12450,2642.0
12500,2513.0
12550,2216.0
12600,2060.0
12650,1706.0
12700,1765.0
12750,2271.0
12800,2537.0
12850,2696.0
12900,2485.0
12950,2237.0
13000,2096.0
13050,1755.0
13100,1805.0
13150,2329.0
13200,2596.0
13250,2883.0
13300,2692.0
13350,2440.0
13400,2158.0
13450,2000.0
13500,1888.0
13550,2346.0
13600,2663.0
13650,2948.0
13700,2777.0
13750,2540.0
13800,2245.0
13850,1926.0
13900,1748.0
13950,2129.0
14000,2406.0
